"Title","Artist(s)","Year","Rank"
"""Volare (Nel blu dipinto di blu)""","Domenico Modugno",1958,1
"""All I Have to Do Is Dream"" / ""Claudette""","The Everly Brothers",1958,2
"""Don't"" / ""I Beg of You""","Elvis Presley",1958,3
"""Witch Doctor""","David Seville",1958,4
"""Patricia""","Perez Prado",1958,5
"""Sail Along, Silv'ry Moon"" / ""Raunchy""","Billy Vaughn",1958,6
"""Catch a Falling Star"" / ""Magic Moments""","Perry Como",1958,7
"""Tequila""","The Champs",1958,8
"""It's All in the Game""","Tommy Edwards",1958,9
"""Return to Me""","Dean Martin",1958,10
"""It's Only Make Believe""","Conway Twitty",1958,11
"""The Purple People Eater""","Sheb Wooley",1958,12
"""Bird Dog"" / ""Devoted to You""","The Everly Brothers",1958,13
"""Get a Job""","The Silhouettes",1958,14
"""Little Star""","The Elegants",1958,15
"""Twilight Time""","The Platters",1958,16
"""Stood Up"" / ""Waitin' in School""","Ricky Nelson",1958,17
"""He's Got the Whole World in His Hands""","Laurie London",1958,18
"""Secretly""","Jimmie Rodgers",1958,19
"""At the Hop""","Danny & the Juniors",1958,20
"""The Battle of New Orleans""","Johnny Horton",1959,1
"""Mack the Knife""","Bobby Darin",1959,2
"""Personality""","Lloyd Price",1959,3
"""Venus""","Frankie Avalon",1959,4
"""Lonely Boy""","Paul Anka",1959,5
"""Dream Lover""","Bobby Darin",1959,6
"""The Three Bells""","The Browns",1959,7
"""Come Softly to Me""","The Fleetwoods",1959,8
"""Kansas City""","Wilbert Harrison",1959,9
"""Mr. Blue""","The Fleetwoods",1959,10
"""Sleep Walk""","Santo & Johnny",1959,11
"""Put Your Head on My Shoulder""","Paul Anka",1959,12
"""Stagger Lee""","Lloyd Price",1959,13
"""Donna""","Ritchie Valens",1959,14
"""Pink Shoe Laces""","Dodie Stevens",1959,15
"""Smoke Gets in Your Eyes""","The Platters",1959,16
"""Charlie Brown""","The Coasters",1959,17
"""Quiet Village""","Martin Denny",1959,18
"""My Heart Is an Open Book""","Carl Dobkins Jr.",1959,19
"""(Till) I Kissed You""","The Everly Brothers",1959,20
"""Theme from A Summer Place""","Percy Faith",1960,1
"""He'll Have to Go""","Jim Reeves",1960,2
"""Cathy's Clown""","The Everly Brothers",1960,3
"""Running Bear""","Johnny Preston",1960,4
"""Teen Angel""","Mark Dinning",1960,5
"""I'm Sorry""","Brenda Lee",1960,6
"""It's Now or Never""","Elvis Presley",1960,7
"""Handy Man""","Jimmy Jones",1960,8
"""Stuck on You""","Elvis Presley",1960,9
"""The Twist""","Chubby Checker",1960,10
"""Everybody's Somebody's Fool""","Connie Francis",1960,11
"""Wild One""","Bobby Rydell",1960,12
"""Greenfields""","The Brothers Four",1960,13
"""What in the World's Come Over You""","Jack Scott",1960,14
"""El Paso""","Marty Robbins",1960,15
"""Alley Oop""","The Hollywood Argyles",1960,16
"""My Heart Has a Mind of Its Own""","Connie Francis",1960,17
"""Sweet Nothin's""","Brenda Lee",1960,18
"""Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini""","Brian Hyland",1960,19
"""Only the Lonely""","Roy Orbison",1960,20
"""Tossin' and Turnin'""","Bobby Lewis",1961,1
"""I Fall to Pieces""","Patsy Cline",1961,2
"""Michael""","The Highwaymen",1961,3
"""Crying""","Roy Orbison",1961,4
"""Runaway""","Del Shannon",1961,5
"""My True Story""","The Jive Five",1961,6
"""Pony Time""","Chubby Checker",1961,7
"""Wheels""","The String-A-Longs",1961,8
"""Raindrops""","Dee Clark",1961,9
"""Wooden Heart""","Joe Dowell",1961,10
"""Calcutta""","Lawrence Welk",1961,11
"""Take Good Care of My Baby""","Bobby Vee",1961,12
"""Running Scared""","Roy Orbison",1961,13
"""Dedicated to the One I Love""","The Shirelles",1961,14
"""Last Night""","The Mar-Keys",1961,15
"""Will You Love Me Tomorrow""","The Shirelles",1961,16
"""Exodus""","Ferrante & Teicher",1961,17
"""Where the Boys Are""","Connie Francis",1961,18
"""Hit the Road Jack""","Ray Charles",1961,19
"""Sad Movies (Make Me Cry)""","Sue Thompson",1961,20
"""Stranger on the Shore""","Acker Bilk",1962,1
"""I Can't Stop Loving You""","Ray Charles",1962,2
"""Mashed Potato Time""","Dee Dee Sharp",1962,3
"""Roses Are Red (My Love)""","Bobby Vinton",1962,4
"""The Stripper""","David Rose",1962,5
"""Johnny Angel""","Shelley Fabares",1962,6
"""The Loco-Motion""","Little Eva",1962,7
"""Let Me In""","The Sensations",1962,8
"""The Twist""","Chubby Checker",1962,9
"""Soldier Boy""","The Shirelles",1962,10
"""Hey! Baby""","Bruce Channel",1962,11
"""The Wanderer""","Dion",1962,12
"""Duke of Earl""","Gene Chandler",1962,13
"""Palisades Park""","Freddy Cannon",1962,14
"""Breaking Up Is Hard to Do""","Neil Sedaka",1962,15
"""Wolverton Mountain""","Claude King",1962,16
"""Slow Twistin'""","Chubby Checker & Dee Dee Sharp",1962,17
"""It Keeps Right On a-Hurtin'""","Johnny Tillotson",1962,18
"""The One Who Really Loves You""","Mary Wells",1962,19
"""Good Luck Charm""","Elvis Presley",1962,20
"""Surfin' U.S.A.""","The Beach Boys",1963,1
"""The End of the World""","Skeeter Davis",1963,2
"""Rhythm of the Rain""","The Cascades",1963,3
"""He's So Fine""","The Chiffons",1963,4
"""Blue Velvet""","Bobby Vinton",1963,5
"""Hey Paula""","Paul & Paula",1963,6
"""Fingertips – Part 2""","Little Stevie Wonder",1963,7
"""Can't Get Used to Losing You""","Andy Williams",1963,8
"""My Boyfriend's Back""","The Angels",1963,9
"""Sukiyaki""","Kyu Sakamoto",1963,10
"""So Much in Love""","The Tymes",1963,11
"""Puff, the Magic Dragon""","Peter, Paul and Mary",1963,12
"""Blowin' in the Wind""","Peter, Paul and Mary",1963,13
"""Wipe Out""","The Surfaris",1963,14
