"Title","Artist(s)","Year","Rank","lyrics_url","lyrics"
"""Joy to the World""","Three Dog Night",1971,1,NA,NA
"""Maggie May""/""Reason to Believe""","Rod Stewart",1971,2,NA,NA
"""It's Too Late""/""I Feel the Earth Move""","Carole King",1971,3,NA,NA
"""One Bad Apple""","The Osmonds",1971,4,NA,NA
"""How Can You Mend a Broken Heart""","Bee Gees",1971,5,NA,NA
"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","Raiders",1971,6,NA,NA
"""Go Away Little Girl""","Donny Osmond",1971,7,NA,NA
"""Take Me Home, Country Roads""","John Denver",1971,8,NA,NA
"""Just My Imagination (Running Away with Me)""","The Temptations",1971,9,NA,NA
"""Knock Three Times""","Tony Orlando and Dawn",1971,10,NA,NA
"""Me and Bobby McGee""","Janis Joplin",1971,11,NA,NA
"""Tired of Being Alone""","Al Green",1971,12,NA,NA
"""Want Ads""","Honey Cone",1971,13,NA,NA
"""Smiling Faces Sometimes""","The Undisputed Truth",1971,14,NA,NA
"""Treat Her Like a Lady""","Cornelius Brothers & Sister Rose",1971,15,NA,NA
"""Brown Sugar""","The Rolling Stones",1971,16,NA,NA
"""You've Got a Friend""","James Taylor",1971,17,NA,NA
"""Mr. Big Stuff""","Jean Knight",1971,18,NA,NA
"""Do You Know What I Mean""","Lee Michaels",1971,19,NA,NA
"""The Night They Drove Old Dixie Down""","Joan Baez",1971,20,NA,NA
"""Somebody That I Used to Know""","Gotye featuring Kimbra",2012,1,NA,NA
"""Call Me Maybe""","Carly Rae Jepsen",2012,2,NA,NA
"""We Are Young""","Fun featuring Janelle Monáe",2012,3,NA,NA
"""Payphone""","Maroon 5 featuring Wiz Khalifa",2012,4,NA,NA
"""Lights""","Ellie Goulding",2012,5,NA,NA
"""Glad You Came""","The Wanted",2012,6,NA,NA
"""Stronger (What Doesn't Kill You)""","Kelly Clarkson",2012,7,NA,NA
"""We Found Love""","Rihanna featuring Calvin Harris",2012,8,NA,NA
"""Starships""","Nicki Minaj",2012,9,NA,NA
"""What Makes You Beautiful""","One Direction",2012,10,NA,NA
"""Wild Ones""","Flo Rida featuring Sia",2012,11,NA,NA
"""Set Fire to the Rain""","Adele",2012,12,NA,NA
"""Sexy and I Know It""","LMFAO",2012,13,NA,NA
"""Some Nights""","Fun",2012,14,NA,NA
"""Wide Awake""","Katy Perry",2012,15,NA,NA
"""Good Feeling""","Flo Rida",2012,16,NA,NA
"""Whistle""","Flo Rida",2012,17,NA,NA
"""One More Night""","Maroon 5",2012,18,NA,NA
"""Drive By""","Train",2012,19,NA,NA
"""The Motto""","Drake featuring Lil Wayne",2012,20,NA,NA
"""Thrift Shop""","Macklemore & Ryan Lewis featuring Wanz",2013,1,NA,NA
"""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell Williams",2013,2,NA,NA
"""Radioactive""","Imagine Dragons",2013,3,NA,NA
"""Harlem Shake""","Baauer",2013,4,NA,NA
"""Can't Hold Us""","Macklemore & Ryan Lewis featuring Ray Dalton",2013,5,NA,NA
"""Mirrors""","Justin Timberlake",2013,6,NA,NA
"""Just Give Me a Reason""","Pink featuring Nate Ruess",2013,7,NA,NA
"""When I Was Your Man""","Bruno Mars",2013,8,NA,NA
"""Cruise""","Florida Georgia Line featuring Nelly",2013,9,NA,NA
"""Roar""","Katy Perry",2013,10,NA,NA
"""Locked Out of Heaven""","Bruno Mars",2013,11,NA,NA
"""Ho Hey""","The Lumineers",2013,12,NA,NA
"""Stay""","Rihanna featuring Mikky Ekko",2013,13,NA,NA
"""Get Lucky""","Daft Punk featuring Pharrell Williams",2013,14,NA,NA
"""Royals""","Lorde",2013,15,NA,NA
"""I Knew You Were Trouble.""","Taylor Swift",2013,16,NA,NA
"""We Can't Stop""","Miley Cyrus",2013,17,NA,NA
"""Wrecking Ball""","Miley Cyrus",2013,18,NA,NA
"""Wake Me Up""","Avicii",2013,19,NA,NA
"""Suit & Tie""","Justin Timberlake featuring Jay-Z",2013,20,NA,NA
